2, 1-connected, cm, false, 10015, 14
2, 1-connected, nl, true, 5947, 15
2, 1-connected, gt, true, 3463, 16
2, 1-connected, mx, false, 10028, 17
2, 1-connected, cn, false, 7386, 18
2, 1-connected, cm, false, 10023, 19
2, 1-connected, nl, true, 7424, 20
2, 1-connected, gt, true, 4962, 21
2, 1-connected, mx, false, 10017, 22
2, 1-connected, cn, true, 5379, 23
2, 1-connected, cm, false, 10013, 24
2, 1-connected, nl, false, 4641, 25
2, 1-connected, gt, true, 8150, 26
2, 1-connected, mx, false, 10015, 27
2, 1-connected, cn, false, 10014, 28
2, 1-connected, cm, false, 10033, 29
2, 1-connected, nl, true, 4796, 30
2, 1-connected, gt, true, 1866, 31
2, 1-connected, mx, true, 10009, 32
2, 1-connected, cn, false, 10013, 33
2, 1-connected, cm, false, 5644, 34
2, 1-connected, nl, false, 6999, 35
2, 1-connected, gt, true, 7111, 36
2, 1-connected, mx, false, 10019, 37
2, 1-connected, cn, false, 6573, 38
2, 1-connected, cm, false, 10031, 39
2, 1-connected, nl, false, 10015, 40
2, 2-connected, mx, false, 10025, 41
2, 2-connected, cn, false, 7423, 42
2, 2-connected, cm, false, 10014, 43
2, 2-connected, nl, true, 3110, 44
2, 2-connected, gt, true, 7000, 45
2, 2-connected, mx, false, 10030, 46
2, 2-connected, cn, true, 2800, 47
2, 2-connected, cm, true, 6845, 48
2, 2-connected, nl, true, 3172, 49
2, 2-connected, gt, true, 5184, 50
2, 2-connected, mx, false, 10014, 51
2, 2-connected, cn, false, 3549, 52
2, 2-connected, cm, true, 4862, 53
2, 2-connected, nl, false, 2383, 54
2, 2-connected, gt, true, 1258, 55
2, 2-connected, mx, true, 10019, 56
2, 2-connected, cn, false, 2808, 57
2, 2-connected, cm, true, 9405, 58
2, 2-connected, nl, false, 2780, 59
2, 2-connected, gt, false, 8120, 60
2, 2-connected, mx, false, 10020, 61
2, 2-connected, cn, true, 4042, 62
2, 2-connected, cm, false, 7453, 63
2, 2-connected, nl, true, 2114, 64
2, 2-connected, gt, false, 5027, 65
2, 2-connected, mx, false, 10029, 66
2, 2-connected, cn, true, 2669, 67
2, 2-connected, cm, true, 4040, 68
2, 2-connected, nl, false, 1677, 69
2, 2-connected, gt, true, 1172, 70
2, 2-connected, mx, true, 6425, 71
2, 2-connected, cn, true, 3052, 72
2, 2-connected, cm, true, 5468, 73
2, 2-connected, nl, false, 1312, 74
2, 2-connected, gt, true, 5212, 75
2, 2-connected, mx, true, 10018, 76
2, 2-connected, cn, false, 1370, 77
2, 2-connected, cm, false, 5400, 78
2, 2-connected, nl, true, 1354, 79
2, 2-connected, gt, true, 3515, 80
